Entity,Code,Date,cases
Afghanistan,AFG,"Feb 23, 2020",0
Afghanistan,AFG,"Feb 24, 2020",0
Afghanistan,AFG,"Feb 25, 2020",1
Afghanistan,AFG,"Feb 26, 2020",1
Afghanistan,AFG,"Feb 27, 2020",1
Afghanistan,AFG,"Feb 28, 2020",1
Afghanistan,AFG,"Feb 29, 2020",1
Afghanistan,AFG,"Mar 1, 2020",1
Afghanistan,AFG,"Mar 2, 2020",1
Afghanistan,AFG,"Mar 8, 2020",4
Afghanistan,AFG,"Mar 11, 2020",7
Afghanistan,AFG,"Mar 15, 2020",10
Afghanistan,AFG,"Mar 16, 2020",16
Afghanistan,AFG,"Mar 17, 2020",21
Afghanistan,AFG,"Mar 18, 2020",22
Afghanistan,AFG,"Mar 19, 2020",22
Afghanistan,AFG,"Mar 20, 2020",22
Afghanistan,AFG,"Mar 21, 2020",24
Afghanistan,AFG,"Mar 22, 2020",24
Afghanistan,AFG,"Mar 23, 2020",34
Afghanistan,AFG,"Mar 24, 2020",40
Afghanistan,AFG,"Mar 25, 2020",42
Afghanistan,AFG,"Mar 26, 2020",75
Afghanistan,AFG,"Mar 27, 2020",75
Afghanistan,AFG,"Mar 28, 2020",91
Afghanistan,AFG,"Mar 29, 2020",106
Afghanistan,AFG,"Mar 30, 2020",114
Afghanistan,AFG,"Mar 31, 2020",141
Afghanistan,AFG,"Apr 1, 2020",166
Afghanistan,AFG,"Apr 2, 2020",192
Afghanistan,AFG,"Apr 3, 2020",235
Afghanistan,AFG,"Apr 4, 2020",235
Afghanistan,AFG,"Apr 5, 2020",270
Afghanistan,AFG,"Apr 6, 2020",299
Afghanistan,AFG,"Apr 7, 2020",337
Afghanistan,AFG,"Apr 8, 2020",367
Afghanistan,AFG,"Apr 9, 2020",423
Afghanistan,AFG,"Apr 10, 2020",484
Afghanistan,AFG,"Apr 11, 2020",521
Afghanistan,AFG,"Apr 12, 2020",555
Afghanistan,AFG,"Apr 13, 2020",607
Afghanistan,AFG,"Apr 14, 2020",665
Afghanistan,AFG,"Apr 15, 2020",714
Afghanistan,AFG,"Apr 16, 2020",784
Afghanistan,AFG,"Apr 17, 2020",794
Afghanistan,AFG,"Apr 18, 2020",845
Afghanistan,AFG,"Apr 19, 2020",908
Afghanistan,AFG,"Apr 20, 2020",996
Afghanistan,AFG,"Apr 21, 2020",1031
Afghanistan,AFG,"Apr 22, 2020",1092
Afghanistan,AFG,"Apr 23, 2020",1176
Afghanistan,AFG,"Apr 24, 2020",1281
Afghanistan,AFG,"Apr 25, 2020",1351
Afghanistan,AFG,"Apr 26, 2020",1463
Afghanistan,AFG,"Apr 27, 2020",1531
Afghanistan,AFG,"Apr 28, 2020",1703
Afghanistan,AFG,"Apr 29, 2020",1827
Afghanistan,AFG,"Apr 30, 2020",1949
Afghanistan,AFG,"May 1, 2020",2171
Afghanistan,AFG,"May 2, 2020",2335
Afghanistan,AFG,"May 3, 2020",2469
Afghanistan,AFG,"May 4, 2020",2704
Afghanistan,AFG,"May 5, 2020",2894
Afghanistan,AFG,"May 6, 2020",3224
Afghanistan,AFG,"May 7, 2020",3392
Afghanistan,AFG,"May 8, 2020",3563
Afghanistan,AFG,"May 9, 2020",3778
Afghanistan,AFG,"May 10, 2020",4033
Afghanistan,AFG,"May 11, 2020",4402
Afghanistan,AFG,"May 12, 2020",4687
Afghanistan,AFG,"May 13, 2020",4967
Afghanistan,AFG,"May 14, 2020",5226
Afghanistan,AFG,"May 15, 2020",5339
Afghanistan,AFG,"May 16, 2020",6402
Afghanistan,AFG,"May 17, 2020",6402
Africa,,"Dec 31, 2019",0
Africa,,"Jan 1, 2020",0
Africa,,"Jan 2, 2020",0
Africa,,"Jan 3, 2020",0
Africa,,"Jan 4, 2020",0
Africa,,"Jan 5, 2020",0
Africa,,"Jan 6, 2020",0
Africa,,"Jan 7, 2020",0
Africa,,"Jan 8, 2020",0
Africa,,"Jan 9, 2020",0
Africa,,"Jan 10, 2020",0
Africa,,"Jan 11, 2020",0
Africa,,"Jan 12, 2020",0
Africa,,"Jan 13, 2020",0
Africa,,"Jan 14, 2020",0
Africa,,"Jan 15, 2020",0
Africa,,"Jan 16, 2020",0
Africa,,"Jan 17, 2020",0
Africa,,"Jan 18, 2020",0
Africa,,"Jan 19, 2020",0
Africa,,"Jan 20, 2020",0
Africa,,"Jan 21, 2020",0
Africa,,"Jan 22, 2020",0
Africa,,"Jan 23, 2020",0
Africa,,"Jan 24, 2020",0
Africa,,"Jan 25, 2020",0
Africa,,"Jan 26, 2020",0
Africa,,"Jan 27, 2020",0
Africa,,"Jan 28, 2020",0
Africa,,"Jan 29, 2020",0
Africa,,"Jan 30, 2020",0
Africa,,"Jan 31, 2020",0
Africa,,"Feb 1, 2020",0
Africa,,"Feb 2, 2020",0
Africa,,"Feb 3, 2020",0
Africa,,"Feb 4, 2020",0
Africa,,"Feb 5, 2020",0
Africa,,"Feb 6, 2020",0
Africa,,"Feb 7, 2020",0
Africa,,"Feb 8, 2020",0
Africa,,"Feb 9, 2020",0
Africa,,"Feb 10, 2020",0
Africa,,"Feb 11, 2020",0
Africa,,"Feb 12, 2020",0
Africa,,"Feb 13, 2020",0
Africa,,"Feb 14, 2020",0
Africa,,"Feb 15, 2020",1
Africa,,"Feb 16, 2020",1
Africa,,"Feb 17, 2020",1
Africa,,"Feb 18, 2020",1
Africa,,"Feb 19, 2020",1
Africa,,"Feb 20, 2020",1
Africa,,"Feb 21, 2020",1
Africa,,"Feb 22, 2020",1
Africa,,"Feb 23, 2020",1
Africa,,"Feb 24, 2020",1
Africa,,"Feb 25, 2020",1
Africa,,"Feb 26, 2020",2
Africa,,"Feb 27, 2020",2
Africa,,"Feb 28, 2020",3
Africa,,"Feb 29, 2020",3
Africa,,"Mar 1, 2020",5
Africa,,"Mar 2, 2020",6
Africa,,"Mar 3, 2020",9
Africa,,"Mar 4, 2020",11
Africa,,"Mar 5, 2020",20
Africa,,"Mar 6, 2020",29
Africa,,"Mar 7, 2020",43
Africa,,"Mar 8, 2020",44
Africa,,"Mar 9, 2020",83
Africa,,"Mar 10, 2020",95
Africa,,"Mar 11, 2020",105
Africa,,"Mar 12, 2020",118
Africa,,"Mar 13, 2020",159
Africa,,"Mar 14, 2020",202
Africa,,"Mar 15, 2020",239
Africa,,"Mar 16, 2020",324
Africa,,"Mar 17, 2020",402
Africa,,"Mar 18, 2020",494
Africa,,"Mar 19, 2020",633
Africa,,"Mar 20, 2020",744
Africa,,"Mar 21, 2020",975
Africa,,"Mar 22, 2020",1176
Africa,,"Mar 23, 2020",1389
Africa,,"Mar 24, 2020",1738
Africa,,"Mar 25, 2020",2203
Africa,,"Mar 26, 2020",2690
Africa,,"Mar 27, 2020",3278
Africa,,"Mar 28, 2020",3804
Africa,,"Mar 29, 2020",4124
Africa,,"Mar 30, 2020",4629
Africa,,"Mar 31, 2020",5137
Africa,,"Apr 1, 2020",5626
Africa,,"Apr 2, 2020",6248
Africa,,"Apr 3, 2020",6883
Africa,,"Apr 4, 2020",7508
Africa,,"Apr 5, 2020",8440
Africa,,"Apr 6, 2020",9175
Africa,,"Apr 7, 2020",9802
Africa,,"Apr 8, 2020",10524
Africa,,"Apr 9, 2020",11446
Africa,,"Apr 10, 2020",12280
Africa,,"Apr 11, 2020",12952
Africa,,"Apr 12, 2020",13666
Africa,,"Apr 13, 2020",14522
Africa,,"Apr 14, 2020",15291
Africa,,"Apr 15, 2020",16281
Africa,,"Apr 16, 2020",17243
Africa,,"Apr 17, 2020",18329
Africa,,"Apr 18, 2020",19897
Africa,,"Apr 19, 2020",21057
Africa,,"Apr 20, 2020",22303
Africa,,"Apr 21, 2020",23267
Africa,,"Apr 22, 2020",24617
Africa,,"Apr 23, 2020",25686
Africa,,"Apr 24, 2020",27221
Africa,,"Apr 25, 2020",29075
Africa,,"Apr 26, 2020",30316
Africa,,"Apr 27, 2020",31748
Africa,,"Apr 28, 2020",33162
Africa,,"Apr 29, 2020",34932
Africa,,"Apr 30, 2020",36735
Africa,,"May 1, 2020",38850
Africa,,"May 2, 2020",40757
Africa,,"May 3, 2020",42776
Africa,,"May 4, 2020",44435
Africa,,"May 5, 2020",47122
Africa,,"May 6, 2020",49208
Africa,,"May 7, 2020",51677
Africa,,"May 8, 2020",54106
Africa,,"May 9, 2020",57836
Africa,,"May 10, 2020",60637
Africa,,"May 11, 2020",63391
Africa,,"May 12, 2020",66510
Africa,,"May 13, 2020",69504
Africa,,"May 14, 2020",72533
Africa,,"May 15, 2020",75679
Africa,,"May 16, 2020",78432
Africa,,"May 17, 2020",81435
Albania,ALB,"Mar 9, 2020",2
Albania,ALB,"Mar 10, 2020",6
Albania,ALB,"Mar 11, 2020",10
Albania,ALB,"Mar 12, 2020",11
Albania,ALB,"Mar 13, 2020",23
Albania,ALB,"Mar 14, 2020",33
Albania,ALB,"Mar 15, 2020",38
Albania,ALB,"Mar 16, 2020",42
Albania,ALB,"Mar 17, 2020",51
Albania,ALB,"Mar 18, 2020",55
Albania,ALB,"Mar 19, 2020",59
Albania,ALB,"Mar 20, 2020",70
Albania,ALB,"Mar 21, 2020",70
Albania,ALB,"Mar 22, 2020",76
Albania,ALB,"Mar 23, 2020",89
Albania,ALB,"Mar 24, 2020",100
Albania,ALB,"Mar 25, 2020",123
Albania,ALB,"Mar 26, 2020",146
Albania,ALB,"Mar 27, 2020",174
Albania,ALB,"Mar 28, 2020",186
Albania,ALB,"Mar 29, 2020",197
Albania,ALB,"Mar 30, 2020",212
Albania,ALB,"Mar 31, 2020",223
Albania,ALB,"Apr 1, 2020",243
Albania,ALB,"Apr 2, 2020",259
Albania,ALB,"Apr 3, 2020",277
Albania,ALB,"Apr 4, 2020",304
Albania,ALB,"Apr 5, 2020",333
Albania,ALB,"Apr 6, 2020",361
Albania,ALB,"Apr 7, 2020",377
Albania,ALB,"Apr 8, 2020",383
Albania,ALB,"Apr 9, 2020",400
Albania,ALB,"Apr 10, 2020",409
Albania,ALB,"Apr 11, 2020",416
Albania,ALB,"Apr 12, 2020",433
Albania,ALB,"Apr 13, 2020",446
Albania,ALB,"Apr 14, 2020",467
Albania,ALB,"Apr 15, 2020",475
Albania,ALB,"Apr 16, 2020",494
Albania,ALB,"Apr 17, 2020",518
Albania,ALB,"Apr 18, 2020",539
Albania,ALB,"Apr 19, 2020",548
Albania,ALB,"Apr 20, 2020",562
Albania,ALB,"Apr 21, 2020",584
Albania,ALB,"Apr 22, 2020",609
Albania,ALB,"Apr 23, 2020",634
Albania,ALB,"Apr 24, 2020",663
Albania,ALB,"Apr 25, 2020",678
Albania,ALB,"Apr 26, 2020",712
Albania,ALB,"Apr 27, 2020",726
Albania,ALB,"Apr 28, 2020",736
Albania,ALB,"Apr 29, 2020",750
Albania,ALB,"Apr 30, 2020",766
Albania,ALB,"May 1, 2020",773
Albania,ALB,"May 2, 2020",782
Albania,ALB,"May 3, 2020",789
Albania,ALB,"May 4, 2020",795
Albania,ALB,"May 5, 2020",803
Albania,ALB,"May 6, 2020",820
Albania,ALB,"May 7, 2020",832
Albania,ALB,"May 8, 2020",842
Albania,ALB,"May 9, 2020",850
Albania,ALB,"May 10, 2020",856
Albania,ALB,"May 11, 2020",868
Albania,ALB,"May 12, 2020",872
Albania,ALB,"May 13, 2020",876
Albania,ALB,"May 14, 2020",880
Albania,ALB,"May 15, 2020",898
Albania,ALB,"May 16, 2020",916
Albania,ALB,"May 17, 2020",933
Algeria,DZA,"Dec 31, 2019",0
Algeria,DZA,"Jan 1, 2020",0
Algeria,DZA,"Jan 2, 2020",0
Algeria,DZA,"Jan 3, 2020",0
Algeria,DZA,"Jan 4, 2020",0
Algeria,DZA,"Jan 5, 2020",0
Algeria,DZA,"Jan 6, 2020",0
Algeria,DZA,"Jan 7, 2020",0
Algeria,DZA,"Jan 8, 2020",0
Algeria,DZA,"Jan 9, 2020",0
Algeria,DZA,"Jan 10, 2020",0
Algeria,DZA,"Jan 11, 2020",0
Algeria,DZA,"Jan 12, 2020",0
Algeria,DZA,"Jan 13, 2020",0
Algeria,DZA,"Jan 14, 2020",0
Algeria,DZA,"Jan 15, 2020",0
Algeria,DZA,"Jan 16, 2020",0
Algeria,DZA,"Jan 17, 2020",0
Algeria,DZA,"Jan 18, 2020",0
Algeria,DZA,"Jan 19, 2020",0
Algeria,DZA,"Jan 20, 2020",0
Algeria,DZA,"Jan 21, 2020",0
Algeria,DZA,"Jan 22, 2020",0
Algeria,DZA,"Jan 23, 2020",0
Algeria,DZA,"Jan 24, 2020",0
Algeria,DZA,"Jan 25, 2020",0
Algeria,DZA,"Jan 26, 2020",0
Algeria,DZA,"Jan 27, 2020",0
Algeria,DZA,"Jan 28, 2020",0
Algeria,DZA,"Jan 29, 2020",0
Algeria,DZA,"Jan 30, 2020",0
Algeria,DZA,"Jan 31, 2020",0
Algeria,DZA,"Feb 1, 2020",0
Algeria,DZA,"Feb 2, 2020",0
Algeria,DZA,"Feb 3, 2020",0
Algeria,DZA,"Feb 4, 2020",0
Algeria,DZA,"Feb 5, 2020",0
Algeria,DZA,"Feb 6, 2020",0
Algeria,DZA,"Feb 7, 2020",0
Algeria,DZA,"Feb 8, 2020",0
Algeria,DZA,"Feb 9, 2020",0
Algeria,DZA,"Feb 10, 2020",0
Algeria,DZA,"Feb 11, 2020",0
Algeria,DZA,"Feb 12, 2020",0
Algeria,DZA,"Feb 13, 2020",0
Algeria,DZA,"Feb 14, 2020",0
Algeria,DZA,"Feb 15, 2020",0
Algeria,DZA,"Feb 16, 2020",0
Algeria,DZA,"Feb 17, 2020",0
Algeria,DZA,"Feb 18, 2020",0
Algeria,DZA,"Feb 19, 2020",0
Algeria,DZA,"Feb 20, 2020",0
Algeria,DZA,"Feb 21, 2020",0
Algeria,DZA,"Feb 22, 2020",0
Algeria,DZA,"Feb 23, 2020",0
Algeria,DZA,"Feb 24, 2020",0
Algeria,DZA,"Feb 25, 2020",0
Algeria,DZA,"Feb 26, 2020",1
Algeria,DZA,"Feb 27, 2020",1
Algeria,DZA,"Feb 28, 2020",1
Algeria,DZA,"Feb 29, 2020",1
Algeria,DZA,"Mar 1, 2020",3
Algeria,DZA,"Mar 2, 2020",3
Algeria,DZA,"Mar 4, 2020",5
Algeria,DZA,"Mar 5, 2020",12
Algeria,DZA,"Mar 6, 2020",17
Algeria,DZA,"Mar 9, 2020",20
Algeria,DZA,"Mar 12, 2020",20
Algeria,DZA,"Mar 13, 2020",25
Algeria,DZA,"Mar 14, 2020",26
Algeria,DZA,"Mar 15, 2020",37
Algeria,DZA,"Mar 16, 2020",48
Algeria,DZA,"Mar 17, 2020",58
Algeria,DZA,"Mar 18, 2020",60
Algeria,DZA,"Mar 19, 2020",72
Algeria,DZA,"Mar 20, 2020",90
Algeria,DZA,"Mar 21, 2020",102
Algeria,DZA,"Mar 22, 2020",139
Algeria,DZA,"Mar 23, 2020",201
Algeria,DZA,"Mar 24, 2020",230
Algeria,DZA,"Mar 25, 2020",264
Algeria,DZA,"Mar 26, 2020",302
Algeria,DZA,"Mar 27, 2020",367
Algeria,DZA,"Mar 28, 2020",409
Algeria,DZA,"Mar 29, 2020",454
Algeria,DZA,"Mar 30, 2020",511
Algeria,DZA,"Mar 31, 2020",584
Algeria,DZA,"Apr 1, 2020",716
Algeria,DZA,"Apr 2, 2020",847
Algeria,DZA,"Apr 3, 2020",986
Algeria,DZA,"Apr 4, 2020",1171
Algeria,DZA,"Apr 5, 2020",1251
Algeria,DZA,"Apr 6, 2020",1320
Algeria,DZA,"Apr 7, 2020",1423
Algeria,DZA,"Apr 8, 2020",1468
Algeria,DZA,"Apr 9, 2020",1572
Algeria,DZA,"Apr 10, 2020",1666
Algeria,DZA,"Apr 11, 2020",1761
Algeria,DZA,"Apr 12, 2020",1825
Algeria,DZA,"Apr 13, 2020",1914
Algeria,DZA,"Apr 14, 2020",1983
Algeria,DZA,"Apr 15, 2020",2070
Algeria,DZA,"Apr 16, 2020",2160
Algeria,DZA,"Apr 17, 2020",2268
Algeria,DZA,"Apr 18, 2020",2418
Algeria,DZA,"Apr 19, 2020",2535
Algeria,DZA,"Apr 20, 2020",2629
Algeria,DZA,"Apr 21, 2020",2718
Algeria,DZA,"Apr 22, 2020",2811
Algeria,DZA,"Apr 23, 2020",2910
Algeria,DZA,"Apr 24, 2020",3007
Algeria,DZA,"Apr 25, 2020",3127
Algeria,DZA,"Apr 26, 2020",3256
Algeria,DZA,"Apr 27, 2020",3382
Algeria,DZA,"Apr 28, 2020",3517
Algeria,DZA,"Apr 29, 2020",3649
Algeria,DZA,"Apr 30, 2020",3848
Algeria,DZA,"May 1, 2020",4006
Algeria,DZA,"May 2, 2020",4154
Algeria,DZA,"May 3, 2020",4295
Algeria,DZA,"May 4, 2020",4474
Algeria,DZA,"May 5, 2020",4648
Algeria,DZA,"May 6, 2020",4838
Algeria,DZA,"May 7, 2020",4997
Algeria,DZA,"May 8, 2020",5182
Algeria,DZA,"May 9, 2020",5369
Algeria,DZA,"May 10, 2020",5558
Algeria,DZA,"May 11, 2020",5723
Algeria,DZA,"May 12, 2020",5891
Algeria,DZA,"May 13, 2020",6067
Algeria,DZA,"May 14, 2020",6253
Algeria,DZA,"May 15, 2020",6442
Algeria,DZA,"May 16, 2020",6629
Algeria,DZA,"May 17, 2020",6821
Andorra,AND,"Mar 3, 2020",1
Andorra,AND,"Mar 14, 2020",2
Andorra,AND,"Mar 16, 2020",5
Andorra,AND,"Mar 17, 2020",14
Andorra,AND,"Mar 18, 2020",14
Andorra,AND,"Mar 19, 2020",53
Andorra,AND,"Mar 20, 2020",75
Andorra,AND,"Mar 21, 2020",75
Andorra,AND,"Mar 22, 2020",88
Andorra,AND,"Mar 23, 2020",113
Andorra,AND,"Mar 24, 2020",133
Andorra,AND,"Mar 25, 2020",164
Andorra,AND,"Mar 26, 2020",188
Andorra,AND,"Mar 27, 2020",224
Andorra,AND,"Mar 28, 2020",267
Andorra,AND,"Mar 29, 2020",308
Andorra,AND,"Mar 30, 2020",334
Andorra,AND,"Mar 31, 2020",370
Andorra,AND,"Apr 1, 2020",376
Andorra,AND,"Apr 2, 2020",390
Andorra,AND,"Apr 3, 2020",428
Andorra,AND,"Apr 4, 2020",439
Andorra,AND,"Apr 5, 2020",466
Andorra,AND,"Apr 6, 2020",501
Andorra,AND,"Apr 7, 2020",526
Andorra,AND,"Apr 8, 2020",545
Andorra,AND,"Apr 9, 2020",564
Andorra,AND,"Apr 10, 2020",583
Andorra,AND,"Apr 11, 2020",601
Andorra,AND,"Apr 12, 2020",622
Andorra,AND,"Apr 13, 2020",638
Andorra,AND,"Apr 14, 2020",646
Andorra,AND,"Apr 15, 2020",659
Andorra,AND,"Apr 16, 2020",673
Andorra,AND,"Apr 17, 2020",682
Andorra,AND,"Apr 18, 2020",696
Andorra,AND,"Apr 19, 2020",704
Andorra,AND,"Apr 20, 2020",713
Andorra,AND,"Apr 21, 2020",717
Andorra,AND,"Apr 22, 2020",717
Andorra,AND,"Apr 23, 2020",723
Andorra,AND,"Apr 24, 2020",724
Andorra,AND,"Apr 25, 2020",731
Andorra,AND,"Apr 26, 2020",733
Andorra,AND,"Apr 27, 2020",740
Andorra,AND,"Apr 28, 2020",743
Andorra,AND,"Apr 29, 2020",743
Andorra,AND,"Apr 30, 2020",743
Andorra,AND,"May 1, 2020",745
Andorra,AND,"May 2, 2020",746
Andorra,AND,"May 3, 2020",747
Andorra,AND,"May 4, 2020",748
Andorra,AND,"May 5, 2020",750
Andorra,AND,"May 6, 2020",751
Andorra,AND,"May 7, 2020",751
Andorra,AND,"May 8, 2020",752
Andorra,AND,"May 9, 2020",752
Andorra,AND,"May 10, 2020",754
Andorra,AND,"May 11, 2020",755
Andorra,AND,"May 12, 2020",756
Andorra,AND,"May 13, 2020",758
Andorra,AND,"May 14, 2020",760
Andorra,AND,"May 15, 2020",761
Andorra,AND,"May 16, 2020",761
Andorra,AND,"May 17, 2020",761
Angola,AGO,"Mar 22, 2020",2
Angola,AGO,"Mar 23, 2020",2
Angola,AGO,"Mar 24, 2020",2
Angola,AGO,"Mar 25, 2020",2
Angola,AGO,"Mar 26, 2020",2
Angola,AGO,"Mar 27, 2020",3
Angola,AGO,"Mar 28, 2020",4
Angola,AGO,"Mar 29, 2020",4
Angola,AGO,"Mar 30, 2020",7
Angola,AGO,"Mar 31, 2020",7
Angola,AGO,"Apr 1, 2020",7
Angola,AGO,"Apr 2, 2020",8
Angola,AGO,"Apr 3, 2020",8
Angola,AGO,"Apr 4, 2020",8
Angola,AGO,"Apr 5, 2020",10
Angola,AGO,"Apr 6, 2020",14
Angola,AGO,"Apr 7, 2020",16
Angola,AGO,"Apr 8, 2020",17
Angola,AGO,"Apr 9, 2020",19
Angola,AGO,"Apr 10, 2020",19
Angola,AGO,"Apr 11, 2020",19
Angola,AGO,"Apr 12, 2020",19
Angola,AGO,"Apr 13, 2020",19
Angola,AGO,"Apr 14, 2020",19
Angola,AGO,"Apr 15, 2020",19
Angola,AGO,"Apr 16, 2020",19
Angola,AGO,"Apr 17, 2020",19
Angola,AGO,"Apr 18, 2020",19
Angola,AGO,"Apr 19, 2020",24
Angola,AGO,"Apr 20, 2020",24
Angola,AGO,"Apr 21, 2020",24
Angola,AGO,"Apr 22, 2020",24
Angola,AGO,"Apr 23, 2020",24
Angola,AGO,"Apr 24, 2020",25
Angola,AGO,"Apr 25, 2020",25
Angola,AGO,"Apr 26, 2020",25
Angola,AGO,"Apr 27, 2020",26
Angola,AGO,"Apr 28, 2020",27
Angola,AGO,"Apr 29, 2020",27
Angola,AGO,"Apr 30, 2020",27
Angola,AGO,"May 1, 2020",27
Angola,AGO,"May 2, 2020",29
Angola,AGO,"May 3, 2020",35
Angola,AGO,"May 4, 2020",35
Angola,AGO,"May 5, 2020",35
Angola,AGO,"May 6, 2020",36
Angola,AGO,"May 7, 2020",36
Angola,AGO,"May 8, 2020",36
Angola,AGO,"May 9, 2020",43
Angola,AGO,"May 10, 2020",43
Angola,AGO,"May 11, 2020",45
Angola,AGO,"May 12, 2020",45
Angola,AGO,"May 13, 2020",45
Angola,AGO,"May 14, 2020",45
Angola,AGO,"May 15, 2020",48
Angola,AGO,"May 16, 2020",48
Angola,AGO,"May 17, 2020",48
Anguilla,AIA,"Mar 27, 2020",2
Anguilla,AIA,"Mar 28, 2020",2
Anguilla,AIA,"Mar 29, 2020",2
Anguilla,AIA,"Mar 30, 2020",2
Anguilla,AIA,"Mar 31, 2020",2
Anguilla,AIA,"Apr 1, 2020",2
Anguilla,AIA,"Apr 2, 2020",2
Anguilla,AIA,"Apr 3, 2020",3
Anguilla,AIA,"Apr 4, 2020",3
Anguilla,AIA,"Apr 5, 2020",3
Anguilla,AIA,"Apr 6, 2020",3
Anguilla,AIA,"Apr 7, 2020",3
Anguilla,AIA,"Apr 8, 2020",3
Anguilla,AIA,"Apr 9, 2020",3
Anguilla,AIA,"Apr 10, 2020",3
Anguilla,AIA,"Apr 11, 2020",3
Anguilla,AIA,"Apr 12, 2020",3
Anguilla,AIA,"Apr 13, 2020",3
Anguilla,AIA,"Apr 14, 2020",3
Anguilla,AIA,"Apr 15, 2020",3
Anguilla,AIA,"Apr 16, 2020",3
Anguilla,AIA,"Apr 17, 2020",3
Anguilla,AIA,"Apr 18, 2020",3
Anguilla,AIA,"Apr 19, 2020",3
Anguilla,AIA,"Apr 20, 2020",3
Anguilla,AIA,"Apr 21, 2020",3
Anguilla,AIA,"Apr 22, 2020",3
Anguilla,AIA,"Apr 23, 2020",3
Anguilla,AIA,"Apr 24, 2020",3
Anguilla,AIA,"Apr 25, 2020",3
Anguilla,AIA,"Apr 26, 2020",3
Anguilla,AIA,"Apr 27, 2020",3
Anguilla,AIA,"Apr 28, 2020",3
Anguilla,AIA,"Apr 29, 2020",3
Anguilla,AIA,"Apr 30, 2020",3
Anguilla,AIA,"May 1, 2020",3
Anguilla,AIA,"May 2, 2020",3
Anguilla,AIA,"May 3, 2020",3
Anguilla,AIA,"May 4, 2020",3
Anguilla,AIA,"May 5, 2020",3
Anguilla,AIA,"May 6, 2020",3
Anguilla,AIA,"May 7, 2020",3
Anguilla,AIA,"May 8, 2020",3
Anguilla,AIA,"May 9, 2020",3
Anguilla,AIA,"May 10, 2020",3
Anguilla,AIA,"May 11, 2020",3
Anguilla,AIA,"May 12, 2020",3
Anguilla,AIA,"May 13, 2020",3
Anguilla,AIA,"May 14, 2020",3
Anguilla,AIA,"May 15, 2020",3
Anguilla,AIA,"May 16, 2020",3
Anguilla,AIA,"May 17, 2020",3
Antigua and Barbuda,ATG,"Mar 15, 2020",1
Antigua and Barbuda,ATG,"Mar 21, 2020",1
Antigua and Barbuda,ATG,"Mar 22, 2020",1
Antigua and Barbuda,ATG,"Mar 23, 2020",1
Antigua and Barbuda,ATG,"Mar 24, 2020",1
Antigua and Barbuda,ATG,"Mar 25, 2020",3
Antigua and Barbuda,ATG,"Mar 26, 2020",3
Antigua and Barbuda,ATG,"Mar 27, 2020",7
Antigua and Barbuda,ATG,"Mar 28, 2020",7
Antigua and Barbuda,ATG,"Mar 29, 2020",7
Antigua and Barbuda,ATG,"Mar 30, 2020",7
